"Table_Number","Year","Measure","Age","Sex","Indigenous_Status","Remoteness","Disability_Status","Service_Type","Client_Type","Year_Dollars","Description1","Description2","Description3","Description4","Description5","Description6","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Aust"
"19A.1","2024-25","Recurrent expenditure","All ages","All people","All people","All areas","","","","2024-25 dollars","State and territory government expenditure on homelessness services","","Total recurrent real expenditure","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","331.8","526.7","460.4","167.1","91.5","54.6","36.4","86.5","1754.9"
"19A.1","2024-25","Recurrent expenditure","All ages","All people","All people","All areas","","","","2024-25 dollars","State and territory government expenditure on homelessness services","","Real expenditure per person in the residential population","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December","$","38.83","75.12","81.94","55.53","48.40","94.75","75.63","329.84","64.05"
"19A.1","2024-25","Recurrent expenditure","All ages","All people","All people","All areas","","","","","State and territory government expenditure on homelessness services","","Service delivery expenditure","","","","Derived from State and territory governments (unpublished)","%","96.0","99.0","97.2","97.4","89.8","94.0","96.3","87.0","96.5"
"19A.1","2024-25","Recurrent expenditure","All ages","All people","All people","All areas","","","","","State and territory government expenditure on homelessness services","","Administrative expenditure","","","","Derived from State and territory governments (unpublished)","%","4.0","1.0","2.8","2.6","10.2","6.0","3.7","13.0","3.5"
"19A.1","2023-24","Recurrent expenditure","All ages","All people","All people","All areas","","","","2024-25 dollars","State and territory government expenditure on homelessness services","","Total recurrent real expenditure","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","328.1","538.7","325.8","125.5","95.8","54.6","37.4","72.8","1578.7"
"19A.1","2023-24","Recurrent expenditure","All ages","All people","All people","All areas","","","","2024-25 dollars","State and territory government expenditure on homelessness services","","Real expenditure per person in the residential population","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December","$","38.90","78.01","58.93","42.87","51.31","95.00","79.61","286.93","58.54"
"19A.1","2023-24","Recurrent expenditure","All ages","All people","All people","All areas","","","","","State and territory government expenditure on homelessness services","","Service delivery expenditure","","","","Derived from State and territory governments (unpublished)","%","95.4","99.0","98.0","96.5","87.3","94.7","96.6","80.7","96.1"
"19A.1","2023-24","Recurrent expenditure","All ages","All people","All people","All areas","","","","","State and territory government expenditure on homelessness services","","Administrative expenditure","","","","Derived from State and territory governments (unpublished)","%","4.6","1.0","2.0","3.5","12.7","5.3","3.4","19.3","3.9"
"19A.1","2022-23","Recurrent expenditure","All ages","All people","All people","All areas","","","","2024-25 dollars","State and territory government expenditure on homelessness services","","Total recurrent real expenditure","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","349.4","551.0","233.1","122.3","102.6","50.7","38.7","68.2","1515.9"
"19A.1","2022-23","Recurrent expenditure","All ages","All people","All people","All areas","","","","2024-25 dollars","State and territory government expenditure on homelessness services","","Real expenditure per person in the residential population","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December","$","42.40","82.18","43.33","43.30","55.96","88.64","84.04","272.45","57.71"
"19A.1","2022-23","Recurrent expenditure","All ages","All people","All people","All areas","","","","","State and territory government expenditure on homelessness services","","Service delivery expenditure","","","","Derived from State and territory governments (unpublished)","%","95.2","99.0","97.7","96.9","87.3","96.8","95.9","73.8","95.7"
"19A.1","2022-23","Recurrent expenditure","All ages","All people","All people","All areas","","","","","State and territory government expenditure on homelessness services","","Administrative expenditure","","","","Derived from State and territory governments (unpublished)","%","4.8","1.0","2.3","3.1","12.7","3.2","4.1","26.2","4.3"
"19A.1","2021-22","Recurrent expenditure","All ages","All people","All people","All areas","","","","2024-25 dollars","State and territory government expenditure on homelessness services","","Total recurrent real expenditure","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","363.7","594.4","191.9","114.9","106.3","45.9","39.0","62.4","1518.6"
"19A.1","2021-22","Recurrent expenditure","All ages","All people","All people","All areas","","","","2024-25 dollars","State and territory government expenditure on homelessness services","","Real expenditure per person in the residential population","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December","$","44.93","90.61","36.44","41.60","58.87","80.60","86.09","250.21","58.94"
"19A.1","2021-22","Recurrent expenditure","All ages","All people","All people","All areas","","","","","State and territory government expenditure on homelessness services","","Service delivery expenditure","","","","Derived from State and territory governments (unpublished)","%","96.7","99.1","97.3","97.7","86.2","96.7","96.6","87.0","96.7"
"19A.1","2021-22","Recurrent expenditure","All ages","All people","All people","All areas","","","","","State and territory government expenditure on homelessness services","","Administrative expenditure","","","","Derived from State and territory governments (unpublished)","%","3.3","0.9","2.7","2.3","13.8","3.3","3.4","13.0","3.3"
"19A.1","2020-21","Recurrent expenditure","All ages","All people","All people","All areas","","","","2024-25 dollars","State and territory government expenditure on homelessness services","","Total recurrent real expenditure","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","308.7","595.8","191.8","105.7","97.5","40.4","31.3","56.2","1427.2"
"19A.1","2020-21","Recurrent expenditure","All ages","All people","All people","All areas","","","","2024-25 dollars","State and territory government expenditure on homelessness services","","Real expenditure per person in the residential population","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December","$","38.14","90.72","36.99","38.73","54.33","71.81","69.86","226.81","55.68"
"19A.1","2020-21","Recurrent expenditure","All ages","All people","All people","All areas","","","","","State and territory government expenditure on homelessness services","","Service delivery expenditure","","","","Derived from State and territory governments (unpublished)","%","96.3","99.1","97.0","98.0","85.9","96.4","97.2","89.6","96.8"
"19A.1","2020-21","Recurrent expenditure","All ages","All people","All people","All areas","","","","","State and territory government expenditure on homelessness services","","Administrative expenditure","","","","Derived from State and territory governments (unpublished)","%","3.7","0.9","3.0","2.0","14.1","3.6","2.8","10.4","3.2"
"19A.2","2021","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Rate per 10000 people in the population","People who are in improvised dwellings; tents or sleeping out","","","ABS Census of Population and Housing: Estimating Homelessness","rate","1.2","1.6","4.0","8.7","1.8","4.1","1.3","28.5","3.0"
"19A.2","2021","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Rate per 10000 people in the population","People in supported accommodation for the homeless","","","ABS Census of Population and Housing: Estimating Homelessness","rate","6.2","12.0","8.0","6.1","14.0","9.5","19.0","76.1","9.6"
"19A.2","2021","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Rate per 10000 people in the population","People staying temporarily with other households","","","ABS Census of Population and Housing: Estimating Homelessness","rate","5.1","3.9","9.6","8.0","7.5","10.5","5.9","28.1","6.5"
"19A.2","2021","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Rate per 10000 people in the population","People staying in boarding houses","","","ABS Census of Population and Housing: Estimating Homelessness","rate","11.0","13.2","5.7","2.4","3.7","4.7","3.0","2.7","8.7"
"19A.2","2021","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Rate per 10000 people in the population","People in other temporary lodging","","","ABS Census of Population and Housing: Estimating Homelessness","rate","1.8","2.4","0.9","0.4","1.4","0.5","0.1","1.9","1.5"
"19A.2","2021","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Rate per 10000 people in the population","People living in 'severely' crowded dwellings","","","ABS Census of Population and Housing: Estimating Homelessness","rate","18.1","13.9","15.2","11.0","13.2","12.7","9.8","426.0","18.8"
"19A.2","2021","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Rate per 10000 people in the population","Total","","","ABS Census of Population and Housing: Estimating Homelessness","rate","43.4","47.1","43.5","36.6","41.7","42.1","39.1","563.6","48.2"
"19A.2","2021","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Number","People who are in improvised dwellings; tents or sleeping out","","","ABS Census of Population and Housing: Estimating Homelessness","no.","963","1023","2050","2315","323","231","59","662","7636"
"19A.2","2021","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Number","People in supported accommodation for the homeless","","","ABS Census of Population and Housing: Estimating Homelessness","no.","5043","7831","4137","1614","2501","531","862","1769","24291"
"19A.2","2021","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Number","People staying temporarily with other households","","","ABS Census of Population and Housing: Estimating Homelessness","no.","4100","2549","4968","2125","1337","588","269","653","16597"
"19A.2","2021","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Number","People staying in boarding houses","","","ABS Census of Population and Housing: Estimating Homelessness","no.","8842","8599","2946","631","658","261","138","62","22137"
"19A.2","2021","Homelessness; by homelessness operational group","All ages","All people","All people","All areas","","","","","People who are homeless by operational group","","Number","People in other temporary lodging","","","ABS Census of Population and Housing: Estimating Homelessness","no.","1427","1583","485","107","257","29","6","44","3934"
