"Table_Number","Year","Measure","Age","Sex","Indigenous_Status","Remoteness","Disability_Status","Housing_Type","Year_Dollars","Description1","Description2","Description3","Description4","Description5","Description6","Uncertainty","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Total","Aust"
"18A.1","2024-25","Recurrent expenditure","All ages","All people","All households","All areas","All households","Public housing","2024-25 dollars","Public housing","State and territory government real expenditure","","Net recurrent expenditure","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","1291.5","707.4","609.1","860.4","437.4","89.0","192.9","251.5","","4439.1"
"18A.1","2024-25","Recurrent expenditure","All ages","All people","All households","All areas","All households","State owned and managed Indigenous housing","2024-25 dollars","State owned and managed Indigenous housing","State and territory government real expenditure","","Net recurrent expenditure","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","71.4","..","53.1","..","25.9","2.7","..","386.3","","539.4"
"18A.1","2024-25","Recurrent expenditure","All ages","All people","All households","All areas","All households","Community housing","2024-25 dollars","Community housing","State and territory government real expenditure","","Net recurrent expenditure","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","101.3","189.4","103.9","12.6","50.2","72.1","11.3","na","","540.8"
"18A.1","2024-25","Recurrent expenditure","All ages","All people","All households","All areas","All households","Indigenous community housing","2024-25 dollars","Indigenous community housing","State and territory government real expenditure","","Net recurrent expenditure","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","10.4","..","150.7","51.8","16.7","na","..","na","","229.5"
"18A.1","2024-25","Recurrent expenditure","All ages","All people","All households","All areas","All households","","2024-25 dollars","All social housing","State and territory government real expenditure","","Net recurrent expenditure","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","1568.8","896.8","916.8","924.8","564.9","168.1","204.2","637.8","","5882.1"
"18A.1","2024-25","Recurrent expenditure","All ages","All people","All households","All areas","All households","Public housing","2024-25 dollars","Public housing","State and territory government real expenditure","","Capital expenditure","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","1022.1","970.6","510.1","551.3","263.3","100.6","80.9","10.6","","3509.5"
"18A.1","2024-25","Recurrent expenditure","All ages","All people","All households","All areas","All households","State owned and managed Indigenous housing","2024-25 dollars","State owned and managed Indigenous housing","State and territory government real expenditure","","Capital expenditure","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","37.2","..","21.6","..","6.6","3.3","..","na","","68.7"
"18A.1","2024-25","Recurrent expenditure","All ages","All people","All households","All areas","All households","Community housing","2024-25 dollars","Community housing","State and territory government real expenditure","","Capital expenditure","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","0.1","287.1","501.8","..","0","1.3","0","na","","790.3"
"18A.1","2024-25","Recurrent expenditure","All ages","All people","All households","All areas","All households","Indigenous community housing","2024-25 dollars","Indigenous community housing","State and territory government real expenditure","","Capital expenditure","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","144.1","..","110.4","23.7","5.8","na","..","na","","284.0"
"18A.1","2024-25","Recurrent expenditure","All ages","All people","All households","All areas","All households","","2024-25 dollars","All social housing","State and territory government real expenditure","","Capital expenditure","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","1203.5","1257.7","1143.9","575.0","275.7","109.6","80.9","284.7","","4931.0"
"18A.1","2024-25","Recurrent expenditure","All ages","All people","All households","All areas","All households","","2024-25 dollars","All social housing","State and territory government real expenditure","","Total","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","2772.2","2154.5","2060.7","1499.8","840.6","277.6","285.1","922.5","","10813.1"
